Trip,rollingmean,rollingstd
760519,752101.8571428572,51765.55369299829
788408,752205.1428571428,51849.03819881994
817696,748913.5714285715,45653.14541137569
689835,745151.2857142857,49706.43180620184
706760,748859.4285714285,44835.46374934555
695795,744013.7142857143,48898.313984955144
729742,741250.7142857143,49110.1069900205
736880,737873.7142857143,48371.5189228599
810917,741089.2857142857,52833.15139100253
823210,741877.0,54189.37611131138
646834,735734.0,62821.941286463225
627945,724474.7142857143,74801.01724289093
699061,724941.2857142857,74602.23424204263
691536,719483.2857142857,75583.61598413995
699307,714115.7142857143,75476.33084553464
729502,702485.0,63376.38016380009
680260,682063.5714285715,34398.58321140906
579350,672423.0,51247.67619446943
517824,656691.4285714285,77403.84123943016
515499,630468.2857142857,90622.54740168856
589649,615913.0,87300.85007986195
627868,605707.4285714285,79778.77487121652
732952,606200.2857142857,80676.62012155668
721850,612141.7142857143,88218.68030206506
654981,622946.1428571428,88164.5917804273
624159,638136.8571428572,75247.8936170933
678100,661365.5714285715,52841.69687805501
724371,680611.5714285715,46524.236289116896
759753,699452.2857142857,48276.46279404312
779745,706137.0,56266.61596660313
770906,713145.0,61373.08446162044
703300,720047.7142857143,56243.92390209473
648699,723553.4285714285,49649.1643597242
696605,726197.0,47260.8390989114
740157,728452.1428571428,47535.020621390795
771135,730078.1428571428,48957.54047617228
785362,730880.5714285715,49943.37716807141
799475,734961.8571428572,54700.10357219974
679417,731550.0,57668.42081821318
659302,733064.7142857143,55216.70240278707
658337,727597.8571428572,61017.784528851764
691997,720717.8571428572,62071.69018274528
736453,715763.2857142857,58667.48150015722
764216,712742.4285714285,54910.60274014097
764368,707727.1428571428,46650.53555043843
696571,710177.7142857143,45347.90152334824
630827,706109.8571428572,51528.242024570565
663533,706852.1428571428,50757.009901517245
715826,710256.2857142857,50392.429734745776
736489,710261.4285714285,50395.550600083494
757102,709245.1428571428,49183.30105983858
739054,705628.8571428572,45226.243389681615
659294,700303.5714285715,48543.52356685265
675124,706631.7142857143,40136.311858107874
645783,704096.0,43714.221762867935
681135,699140.1428571428,44127.25931299218
717257,696392.7142857143,41959.77224959593
732963,692944.2857142857,36815.44452044498
730507,691723.2857142857,35134.68750733331
647998,690109.5714285715,37078.0508291035
595220,678694.7142857143,51826.73343206156
663854,681276.2857142857,50342.950640958334
677174,680710.4285714285,50367.0585166428
702594,678615.7142857143,48876.66028114
769121,683781.1428571428,56839.50391651974
757779,687677.1428571428,61333.10777611111
678714,692065.1428571428,59078.51047667609
614694,694847.1428571428,53998.08296729362
679566,697091.7142857143,52808.50547248959
687364,698547.4285714285,52306.00484283726
693820,697294.0,52298.00046209416
717429,689909.4285714285,43349.47547493802
745918,688215.0,40384.91028837223
678293,688154.8571428572,40401.7277618511
585366,683965.1428571428,49732.57369313127
694741,686133.0,49839.48020729357
651597,681023.4285714285,51498.07216086435
686053,679913.8571428572,51259.52744751686
702842,677830.0,49754.650523006836
743799,677527.2857142857,49275.489609317665
634393,671255.8571428572,51886.2663731236
581894,670759.8571428572,52851.77333646813
665221,666542.7142857143,51786.3452682073
771476,683668.2857142857,64324.149217625134
768899,695503.4285714285,71999.61873245522
838517,714885.5714285715,90252.44718354683
881016,734488.0,110262.24182979952
779623,755235.1428571428,101613.33859526533
687352,770300.5714285715,76293.10016171553
731266,779735.5714285715,64268.53773259166
761396,778295.5714285715,64596.534754470835
802961,783161.5714285715,65052.05086917367
832831,782349.2857142857,64276.51974013999
882746,782596.4285714285,64720.91124424592
769234,781112.2857142857,64919.2736833313
636060,773784.8571428572,78698.16656150702
680683,766558.7142857143,85298.48682462824
675011,754218.0,92144.15237007638
