start_id,end_id,date,amount
0.0,0.0,2018-01-02,25412.0
0.0,0.0,2018-01-03,26156.0
0.0,0.0,2018-01-04,25743.0
0.0,0.0,2018-01-05,27603.0
0.0,0.0,2018-01-06,16511.0
0.0,0.0,2018-01-07,14168.0
0.0,0.0,2018-01-08,26095.0
0.0,0.0,2018-01-09,26402.0
0.0,0.0,2018-01-10,26433.0
0.0,0.0,2018-01-11,26062.0
0.0,0.0,2018-01-12,27295.0
0.0,0.0,2018-01-13,18512.0
0.0,0.0,2018-01-14,16262.0
0.0,0.0,2018-01-15,25374.0
0.0,0.0,2018-01-16,25569.0
0.0,0.0,2018-01-17,25813.0
0.0,0.0,2018-01-18,25708.0
0.0,0.0,2018-01-19,28697.0
0.0,0.0,2018-01-20,17474.0
0.0,0.0,2018-01-21,16118.0
0.0,0.0,2018-01-22,24094.0
0.0,0.0,2018-01-23,24585.0
0.0,0.0,2018-01-24,26871.0
0.0,0.0,2018-01-25,24608.0
0.0,0.0,2018-01-26,26226.0
0.0,0.0,2018-01-27,19897.0
0.0,0.0,2018-01-28,15097.0
0.0,0.0,2018-01-29,24156.0
0.0,0.0,2018-01-30,25280.0
0.0,0.0,2018-01-31,25608.0
0.0,0.0,2018-02-01,23940.0
0.0,0.0,2018-02-02,24990.0
0.0,0.0,2018-02-03,15577.0
0.0,0.0,2018-02-04,13242.0
0.0,0.0,2018-02-05,22792.0
0.0,0.0,2018-02-06,23638.0
0.0,0.0,2018-02-07,24396.0
0.0,0.0,2018-02-08,24621.0
0.0,0.0,2018-02-09,26115.0
0.0,0.0,2018-02-10,15552.0
0.0,0.0,2018-02-11,13600.0
0.0,0.0,2018-02-12,23922.0
0.0,0.0,2018-02-13,23738.0
0.0,0.0,2018-02-14,21471.0
0.0,0.0,2018-02-15,7997.0
0.0,0.0,2018-02-16,10795.0
0.0,0.0,2018-02-17,10900.0
0.0,0.0,2018-02-18,14618.0
0.0,0.0,2018-02-19,16650.0
0.0,0.0,2018-02-20,15140.0
0.0,0.0,2018-02-21,24344.0
0.0,0.0,2018-02-22,25599.0
0.0,0.0,2018-02-23,26759.0
0.0,0.0,2018-02-24,17570.0
0.0,0.0,2018-02-25,14231.0
0.0,0.0,2018-02-26,25603.0
0.0,0.0,2018-02-27,27048.0
0.0,0.0,2018-02-28,15918.0
0.0,0.0,2018-03-01,26107.0
0.0,0.0,2018-03-02,27999.0
0.0,0.0,2018-03-03,18216.0
0.0,0.0,2018-03-04,15963.0
0.0,0.0,2018-03-05,26304.0
0.0,0.0,2018-03-06,26376.0
0.0,0.0,2018-03-07,27098.0
0.0,0.0,2018-03-08,26674.0
0.0,0.0,2018-03-09,28362.0
0.0,0.0,2018-03-10,20199.0
0.0,0.0,2018-03-11,17310.0
0.0,0.0,2018-03-12,25794.0
0.0,0.0,2018-03-13,26450.0
0.0,0.0,2018-03-14,26688.0
0.0,0.0,2018-03-15,26622.0
0.0,0.0,2018-03-16,27749.0
0.0,0.0,2018-03-17,17229.0
0.0,0.0,2018-03-18,16540.0
0.0,0.0,2018-03-19,25923.0
0.0,0.0,2018-03-20,25931.0
0.0,0.0,2018-03-21,26929.0
0.0,0.0,2018-03-22,26492.0
0.0,0.0,2018-03-23,27392.0
0.0,0.0,2018-03-24,19727.0
0.0,0.0,2018-03-25,15822.0
0.0,0.0,2018-03-26,25393.0
0.0,0.0,2018-03-27,25837.0
0.0,0.0,2018-03-28,26056.0
0.0,0.0,2018-03-29,27279.0
0.0,0.0,2018-03-30,27917.0
0.0,0.0,2018-03-31,25829.0
0.0,0.0,2018-04-01,18791.0
0.0,0.0,2018-04-02,25003.0
0.0,0.0,2018-04-03,25030.0
0.0,0.0,2018-04-04,16670.0
0.0,0.0,2018-04-05,13836.0
0.0,0.0,2018-04-06,14763.0
0.0,0.0,2018-04-07,15777.0
0.0,0.0,2018-04-08,16197.0
0.0,0.0,2018-04-09,25482.0
0.0,0.0,2018-04-10,26128.0
0.0,0.0,2018-04-11,26569.0
0.0,0.0,2018-04-12,26235.0
0.0,0.0,2018-04-13,27089.0
0.0,0.0,2018-04-14,18931.0
0.0,0.0,2018-04-15,16312.0
0.0,0.0,2018-04-16,25849.0
0.0,0.0,2018-04-17,26686.0
0.0,0.0,2018-04-18,26923.0
0.0,0.0,2018-04-19,26831.0
0.0,0.0,2018-04-20,28014.0
0.0,0.0,2018-04-21,19621.0
0.0,0.0,2018-04-22,16555.0
0.0,0.0,2018-04-23,26080.0
0.0,0.0,2018-04-24,26469.0
0.0,0.0,2018-04-25,27557.0
0.0,0.0,2018-04-26,27220.0
0.0,0.0,2018-04-27,28374.0
0.0,0.0,2018-04-28,20414.0
0.0,0.0,2018-04-29,17422.0
0.0,0.0,2018-04-30,25865.0
0.0,0.0,2018-05-01,20711.0
0.0,0.0,2018-05-02,26567.0
0.0,0.0,2018-05-03,26267.0
0.0,0.0,2018-05-04,28036.0
0.0,0.0,2018-05-05,20806.0
0.0,0.0,2018-05-06,17266.0
0.0,0.0,2018-05-07,26149.0
0.0,0.0,2018-05-08,26607.0
0.0,0.0,2018-05-09,26961.0
0.0,0.0,2018-05-10,26860.0
0.0,0.0,2018-05-11,28712.0
0.0,0.0,2018-05-12,19744.0
0.0,0.0,2018-05-13,16986.0
0.0,0.0,2018-05-14,26248.0
0.0,0.0,2018-05-15,26762.0
0.0,0.0,2018-05-16,27027.0
0.0,0.0,2018-05-17,26328.0
0.0,0.0,2018-05-18,30029.0
0.0,0.0,2018-05-19,21836.0
0.0,0.0,2018-05-20,19378.0
0.0,0.0,2018-05-21,25559.0
0.0,0.0,2018-05-22,26417.0
0.0,0.0,2018-05-23,26662.0
0.0,0.0,2018-05-24,26324.0
0.0,0.0,2018-05-25,28208.0
0.0,0.0,2018-05-26,19323.0
0.0,0.0,2018-05-27,15866.0
0.0,0.0,2018-05-28,25520.0
0.0,0.0,2018-05-29,25940.0
0.0,0.0,2018-05-30,26349.0
0.0,0.0,2018-05-31,27045.0
0.0,0.0,2018-06-01,28713.0
