date,start_id,end_id,amount
2018-06-29,4897217,4852002,923855
2018-06-30,5211583,5180042,990610
2018-07-01,5026625,4994933,868776
2018-07-02,4667384,4625847,788976
2018-07-03,4671939,4627966,828019
2018-07-04,4726582,4691751,700682
2018-07-05,4709277,4677139,756646
2018-07-06,4745321,4709093,790416
2018-07-07,5056079,5018606,824956
2018-07-08,4947274,4923052,765867
2018-07-09,4622224,4594158,768985
2018-07-10,4649341,4611830,831297
2018-07-11,4725563,4695477,860485
2018-07-12,4796073,4738533,880516
2018-07-13,4963379,4914036,931476
2018-07-14,5268811,5245029,978207
2018-07-15,5019474,5017803,861627
2018-07-16,4701242,4665589,830449
2018-07-17,4629748,4594754,899773
2018-07-18,4731076,4691646,870903
2018-07-19,4766254,4722770,872221
2018-07-20,4978983,4949167,932183
2018-07-21,5255228,5221554,1026124
2018-07-22,4920910,4899339,858804
2018-07-23,4645473,4612219,807666
2018-07-24,4703294,4654831,842903
2018-07-25,4767198,4720724,905510
2018-07-26,4795669,4736747,905319
2018-07-27,4995683,4947042,990709
2018-07-28,5271531,5247529,963597
2018-07-29,5136377,5119886,862603
2018-07-30,4688258,4646301,780480
2018-07-31,4687971,4652119,812592
2018-08-01,4769992,4733582,877894
2018-08-02,4842850,4781226,899651
2018-08-03,5013769,4982194,932836
2018-08-04,5195956,5162594,960435
2018-08-05,5143103,5122483,866552
2018-08-06,4733892,4711847,805192
2018-08-07,4774039,4727288,868615
2018-08-08,4820698,4766505,888214
2018-08-09,4830173,4787907,898183
2018-08-10,5045650,4997950,933364
2018-08-11,5109447,5079350,942629
2018-08-12,4993059,4976262,824836
2018-08-13,4707901,4682437,811874
2018-08-14,4697721,4652873,824910
2018-08-15,4846641,4811711,857940
2018-08-16,4892994,4846226,889122
2018-08-17,5026254,5004945,953459
2018-08-18,5264579,5231868,959852
2018-08-19,5028377,5020983,820017
2018-08-20,4767027,4731762,743488
2018-08-21,4735169,4685351,757974
2018-08-22,4809118,4759579,817403
2018-08-23,4881834,4834960,840851
2018-08-24,5054766,5029179,892605
2018-08-25,5344042,5311781,932172
2018-08-26,5178909,5144372,841629
2018-08-27,4823138,4779282,773309
2018-08-28,4834854,4796522,840966
2018-08-29,4878736,4836721,876333
2018-08-30,4918348,4883678,874352
2018-08-31,5101123,5056348,904648
2018-09-01,5230630,5213014,880878
2018-09-02,5185626,5155867,823654
2018-09-03,4852799,4832877,737965
2018-09-04,4784604,4759689,843984
2018-09-05,4808324,4779178,894204
2018-09-06,4869693,4832131,964927
2018-09-07,5026654,4990837,987049
2018-09-08,5286073,5235742,1038723
2018-09-09,5096804,5060454,952035
2018-09-10,4679381,4648598,846673
2018-09-11,4633811,4591106,802760
2018-09-12,4804251,4769239,919899
2018-09-13,4844134,4804492,929612
2018-09-14,5020854,4976394,988264
2018-09-15,5267769,5234781,1036469
2018-09-16,5112045,5078494,917875
2018-09-17,4696670,4674848,831171
2018-09-18,4636521,4596254,863937
2018-09-19,4687765,4634223,801342
2018-09-20,4834337,4782071,911262
2018-09-21,4989577,4956667,984085
2018-09-22,5331899,5301826,1037592
2018-09-23,5067617,5045210,880760
2018-09-24,4632028,4586812,747576
2018-09-25,4658436,4625241,851831
2018-09-26,4758876,4714929,840511
2018-09-27,4848178,4804933,875622
2018-09-28,5013625,4976441,989092
2018-09-29,5343096,5302439,1050401
2018-09-30,5159731,5137880,908556
2018-10-01,4619536,4576072,787323
2018-10-02,4653361,4612664,838495
2018-10-03,4783610,4736032,884686
2018-10-04,4862212,4822556,944818
2018-10-05,5013367,4971801,974288
2018-10-06,5303485,5292000,1055425
2018-10-07,5144892,5118516,915757
2018-10-08,4698718,4673046,762753
2018-10-09,4695636,4658910,843473
2018-10-10,4773719,4729056,885323
2018-10-11,4801935,4762415,967482
2018-10-12,4954496,4917032,1006698
2018-10-13,5245531,5213329,1090902
2018-10-14,5084964,5066644,926626
2018-10-15,4696298,4656768,831487
2018-10-16,4718687,4685396,875109
2018-10-17,4772495,4722445,904600
2018-10-18,4821938,4775232,963903
2018-10-19,4980951,4938820,1007165
2018-10-20,5292307,5265881,1078524
2018-10-21,5117069,5078164,978873
2018-10-22,4692944,4656676,845748
2018-10-23,4679799,4636458,860448
2018-10-24,4777187,4746554,904627
2018-10-25,4811124,4779561,958864
2018-10-26,5040958,4998998,1047787
2018-10-27,5238003,5210846,1231799
2018-10-28,5130046,5105055,994477
2018-10-29,4697523,4660128,830924
2018-10-30,4699967,4670906,855776
2018-10-31,4835268,4808151,896823
2018-11-01,4967704,4929883,974336
2018-11-02,5005990,4975785,1028176
2018-11-03,5243836,5219531,1097991
2018-11-04,4949028,4902751,895721
2018-11-05,4691314,4661258,890999
2018-11-06,4729543,4704475,914218
